,smiles,oxidation,reduction
57614,C[C](CO)CCC#N,0.0279985344961799,-1.6601342806903672
21463,CC1=CC[C](O)CC1,-0.770340069685397,-1.9203786792857152
8513,C=CCCC[CH]CCN,0.231807667230055,-1.8675896649311896
56936,C[C](C)NCCCN,-1.7771680697280852,-2.273575280473065
78174,[CH2]O/C=C/C(=O)OC,0.3746917468012727,-1.1288155723071165
12762,C=[C]CCCSCC(=O)O,0.3656033288659754,-0.9511016275953904
37703,CN[C@@H]1C[CH]OC1=O,0.1231548144922118,-1.2374140033823615
57499,C[C](CCN)C(C)C,-0.1971166798058661,-2.2898473580939687
36330,CN1OC[C]2CCC[C@@H]21,0.2594266618544312,-1.4720530089328596
12693,C=[C]CCC1(CO)CC1,0.3435081331677123,-1.042992607736578
78212,[CH2]OC(=C)C(=O)OC,0.3138211153027601,-1.1966249660025867
54767,C[CH]SC[C@H](C)OC,-0.2984498186992885,-1.6191547674876334
62651,N#CC1=CC=CC(=O)[N]1,2.7575171065436566,1.1635609813969958
56293,C[C](C#N)NC=O,0.7484869479213714,-0.64609541013
38134,CN[C](COC)C(=O)O,-0.3311028172678383,-0.5304765843631265
82925,[CH2]c1ncc(CC)[nH]1,0.0884337926815392,-1.2054412756171624
61874,Cc1cncc([CH]N)c1,-0.6799456853128172,-1.6597533290398103
13921,C=[C]n1cc(CO)cn1,0.11488272152062598,-0.1528174450795036
35194,CN(C)[CH]OCN(C)C,-1.7179028773249219,-1.6887328652708873
65150,N[C@@H]1CCC[CH]N1,-1.5077264098691514,-2.226228432548436
40428,COCS[C](C)C,-0.3540143379298124,-1.6750186058709515
48318,C[C@H](O)/C=[C]/C(=O)O,1.5139548668747276,0.0894405934682085
56193,C[CH]n1cc(CN)nn1,0.3479707096399176,-1.3142846041810579
43009,COc1[c]c(C)ccc1,1.6980905679724945,-0.4368169001341564
34335,CCc1cnnc([NH])c1,2.220756231733602,0.2163519145744095
30237,CC[C@@H]1[CH]NC[C@H](C)C1,-1.5269916790257247,-2.187371364250423
45917,C[C@@H]1C[C@H](O)[C]1N,-1.3891143925666087,-1.9390453101336085
79118,[CH2]O[C@@H]1CCN=N1,0.0621481288333383,-1.4380666795896817
58758,C[C]1CCCCC[C@@H]1C,-0.2769532613066126,-2.17673192888392
67826,O=COC[C@H](O)[CH]O,-0.2639736943757178,-1.516515508651655
58668,C[C]1CCC(=O)OC1=O,1.53210449191325,-0.087375393782044
64518,NCOC[C@@H](N)[C]=O,-0.1603004239194509,-1.125332585794148
6058,C=C(COO)C[C](C)C,-0.0336612111355183,-1.9547459602794504
75734,[CH2]CS(=O)(=O)N(C)C,1.3459279784038856,-1.0825571576669195
4281,C1=C[C@@H]2C[C@@H]2C[C@@H]2C[C]12,0.1656037126314817,-1.2844887429862701
53246,C[CH]C[C@H](N)[C@H](C)N,0.1994267769837741,-1.931535120463136
56803,C[C](C)C[C@]1(C)CN1,-0.07417814019302499,-2.2045958209969454
68683,O=[C]c1cncnc1,0.1063929418924631,-0.8361358618013424
776,C#CCOC/[C]=C\CO,0.6144463887952547,-0.7612516517500998
63785,NC(=O)C1=NC=C[N]1,2.8378434830232475,1.005493257490854
29868,CC[C@@H]1CO[C@H](C)[CH]O1,-0.4818780381600853,-1.6401887407319902
15786,CC(C)(C#C[CH]O)OO,0.3824196231298691,-0.8748024542733033
85007,[CH]=C=C[C@@H]1C[C@@H]1C,0.3773856191841487,-0.9869382935256614
59188,C[C]1COC(=O)[C@H]1N,0.4595079105835955,-1.405440891851657
28738,CCO[C@H](C)[CH]O,-0.3750483111741696,-1.6295493053639405
59021,C[C]1CC[C@H](O)[C@@H]1O,0.0671277111133674,-1.8294128674380743
83110,[CH2]n1cccc1CO,0.0274815286852625,-1.3524886125062454
19324,CC/C=[C]/C(C)C,0.2203791177319134,-0.9725709741559938
71456,[CH2]/N=N/C(=C)C,0.506718704349411,-0.4378237009239192
59363,C[C]1C[C@H](C)CC[C@@H]1O,0.0035904180655972,-1.8107734474222537
34402,CCc1ncccc1[O],1.8793147100308083,0.4711813575719334
3234,C/C=C\CSC[C](C)O,-0.6188301563272023,-1.9192358243340453
16421,CC(C)(O)[C@H](O)[CH]O,-0.2574703054950085,-1.6524880368579868
61459,Cc1cc(N)[c]nn1,1.3971659753256596,-0.48544265716927
52634,C[CH]CC[C@H](O)C(C)=O,0.2336307929835293,-1.8805964426957031
53312,C[CH]C[C@](C)(CC)OC,0.2139845721779458,-1.9596711208968824
50231,C[C@H]1[CH]OC(=O)C1,0.0054951763152875,-1.2959172924844116
29,C#C/C(C)=[C]/CC[C@H](C)O,0.6262558899439536,-0.8006801475216276
49481,C[C@H]1CC=[C]CCC1=O,0.6378749152681467,-1.0060402976898015
21675,CC1=C[CH]OC1,-0.5504221243230507,-2.0684056061309417
20490,CC1(C)[CH]NC(=O)OC1,-0.2667491992532635,-1.6208962607433444
24375,CCCCO[CH]C(=O)O,0.7814392656427147,-0.3773884427385607
17554,CC(C)C[CH]CCCC=O,0.2274811449197571,-1.980351353324301
2348,C/C(O)=[C]/N1CCCC1,-0.9496322426604004,-1.0134144331999129
16987,CC(C)C#C[CH]CO,0.8139834208845222,-1.027672909241292
1970,C#C[C](C)OC(C)(C)C,-0.0710761053290678,-1.156053615280935
86497,[C]1=NN=CCC=C1,0.5425553702796826,-0.7810339267160442
34332,CCc1cncnc1[NH],2.2820078148826717,0.4628820537698219
31109,CC[C@H](O)[C](O)[C@H](C)O,-0.5489527393880613,-1.6971410124012871
